Processing [./tmp/generate_bs65.sqlite] with [/usr/local/cuda-12.1/nsight-systems-2023.1.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)                        Name                      
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  -----------  ------------------------------------------------
     46.4       2958886666      66047      44799.7       5981.0       3530  2287947090    8907430.5  cudaLaunchKernel                                
     34.2       2184187613       1000    2184187.6      10540.0       4290   155582548    8723263.3  cudaMemcpyAsync                                 
     13.8        879784737        556    1582346.6       8730.0       2380    15732482    4482959.3  cudaStreamSynchronize                           
      2.7        170954433          1  170954433.0  170954433.0  170954433   170954433          0.0  cudaMemGetInfo                                  
      1.3         81943194      10337       7927.2       8250.0       3620       80231       2177.5  cudaLaunchKernelExC_v11060                      
      0.8         54171858       8460       6403.3       6340.0       4761      143583       1905.8  cudaMemsetAsync                                 
      0.5         31819707         60     530328.5     178428.5       3570    11545069    1520905.1  cudaMalloc                                      
      0.2         10893316          4    2723329.0    3378652.0     658273     3477739    1377843.5  cuLibraryLoadData                               
      0.0          1590070       1769        898.9        850.0        390       10880        365.5  cudaStreamIsCapturing_v10000                    
      0.0          1484669          1    1484669.0    1484669.0    1484669     1484669          0.0  cudaFree                                        
      0.0           934190          2     467095.0     467095.0      19021      915169     633672.3  cudaHostAlloc                                   
      0.0           741945          1     741945.0     741945.0     741945      741945          0.0  cuKernelGetFunction                             
      0.0           258875          1     258875.0     258875.0     258875      258875          0.0  cudaGetDeviceProperties_v2_v12000               
      0.0           196966        810        243.2        220.0        100        1870        138.3  cuGetProcAddress_v2                             
      0.0           190464          1     190464.0     190464.0     190464      190464          0.0  cudaStreamCreate                                
      0.0            33140         20       1657.0        599.5        360       10180       2533.3  cudaEventCreateWithFlags                        
      0.0            25240          1      25240.0      25240.0      25240       25240          0.0  cuLaunchKernel                                  
      0.0            20400         35        582.9        490.0        400        2590        406.5  cudaOccupancyMaxActiveClusters_v11070           
      0.0            11611          2       5805.5       5805.5       5190        6421        870.4  cudaEventRecord                                 
      0.0            10070          1      10070.0      10070.0      10070       10070          0.0  cudaDeviceSynchronize                           
      0.0             6260          3       2086.7       1240.0       1080        3940       1607.0  cuInit                                          
      0.0             5220          1       5220.0       5220.0       5220        5220          0.0  cudaStreamDestroy                               
      0.0             4900          2       2450.0       2450.0       2230        2670        311.1  cudaOccupancyAvailableDynamicSMemPerBlock_v10200
      0.0             3950          5        790.0        740.0        540        1060        231.5  cuLibraryGetKernel                              
